# simulated-annealing honeycomb couplings
# L 6
# source 0 0
# target 5 0
# time 21.537763270940051
# fidelity 0.99975144805328986
# seed 123
# iterations 200000
# columns: x1 y1 x2 y2 coupling
0 0 0 1 0.28998221330761198
0 0 1 0 0.25
1 0 1 1 0.9017545117632817
2 0 2 1 1.6315208999830433
2 0 3 0 1.1840960855526796
3 0 3 1 1.6315208999830433
4 0 4 1 0.9017545117632817
4 0 5 0 0.25
5 0 5 1 0.28998221330761198
0 1 0 2 0.92513881042772783
1 1 1 2 1.4053346386693508
1 1 2 1 0.3625319405049589
2 1 2 2 0.36727681781175653
3 1 3 2 0.36727681781175653
3 1 4 1 0.3625319405049589
4 1 4 2 1.4053346386693508
5 1 5 2 0.92513881042772783
0 2 0 3 0.25
0 2 1 2 1.6563003415996513
1 2 1 3 0.74483690341615927
2 2 2 3 1.9681750868886601
2 2 3 2 1.9760778125776817
3 2 3 3 1.9681750868886601
4 2 4 3 0.74483690341615927
4 2 5 2 1.6563003415996513
5 2 5 3 0.25
0 3 0 4 1.7658763888750253
1 3 1 4 1.0271962608718166
1 3 2 3 0.44606798825930105
2 3 2 4 1.4179913637204202
3 3 3 4 1.4179913637204202
3 3 4 3 0.44606798825930105
4 3 4 4 1.0271962608718166
5 3 5 4 1.7658763888750253
0 4 0 5 0.25
0 4 1 4 0.25
1 4 1 5 1.8028584240537566
2 4 2 5 1.7468015570163189
2 4 3 4 1.5496505351609904
3 4 3 5 1.7468015570163189
4 4 4 5 1.8028584240537566
4 4 5 4 0.25
5 4 5 5 0.25
1 5 2 5 1.2202593077682031
3 5 4 5 1.2202593077682031
