# annealed 1D barrier-chain couplings
# sites 20
# onsite_energy -4
# barrier_site 10
# barrier_height 2
# time 25.132741228718345
# fidelity 0.98546101550985099
# seed 123
# iterations 100000
# columns: left_site right_site hopping_magnitude
0 1 0.1793137867786723
1 2 0.61822814665149273
2 3 2
3 4 1.3601116601130114
4 5 1.9648140529203604
5 6 1.9422329288277447
6 7 2
7 8 1.9920617715485316
8 9 0.60945313319819994
9 10 2
10 11 2
11 12 0.39005622034835963
12 13 0.7561261867529494
13 14 1.4284694906673414
14 15 0.68154949619504779
15 16 1.266884444212224
16 17 1.5681976782754052
17 18 0.36861574804256592
18 19 0.17407466460287618
